ID,Response,RT,Type,characterlist
sub-28,0,3.597158572,affiliation,Newcomb
sub-28,0,2.878094924,affiliation,Anthony
sub-29,0,4.564480991,affiliation,Olivia
sub-29,0,3.83393226,affiliation,Olivia
sub-29,0,6.106619778,affiliation,Olivia
sub-29,0,2.770622309,affiliation,Peter
sub-29,0,9.611953233,affiliation,Anthony
sub-29,0,4.674862319,affiliation,Anthony
sub-29,0,4.824232402,affiliation,Hayworth
sub-29,0,11.988,affiliation,Hayworth
sub-29,0,2.864713066,affiliation,Hayworth
sub-29,0,5.388997376,affiliation,Peter
sub-29,0,5.019366829,affiliation,Newcomb
sub-29,0,4.715949614,affiliation,Anthony
sub-3,0,1.445412798,affiliation,Olivia
sub-3,0,2.114559506,affiliation,Olivia
sub-3,0,2.55803772,affiliation,Olivia
sub-3,0,1.757519787,affiliation,Newcomb
sub-3,0,2.110406351,affiliation,Olivia
sub-3,0,1.354598935,affiliation,Peter
sub-3,0,2.539824283,affiliation,Anthony
sub-3,0,3.280299027,affiliation,Anthony
sub-3,0,2.109229069,affiliation,Anthony
sub-3,0,2.70744239,affiliation,Hayworth
sub-3,0,2.455770573,affiliation,Peter
sub-3,0,2.891692225,affiliation,Peter
sub-3,0,3.020996873,affiliation,Anthony
sub-30,0,3.076016294,affiliation,Olivia
sub-30,0,1.987561641,affiliation,Peter
sub-30,0,2.306918782,affiliation,Olivia
sub-30,0,2.483259234,affiliation,Olivia
sub-30,0,1.398647904,affiliation,Newcomb
sub-30,0,3.284421919,affiliation,Newcomb
sub-30,0,2.297143817,affiliation,Peter
sub-30,0,3.081973267,affiliation,Peter
sub-30,0,2.898441694,affiliation,Anthony
sub-30,0,2.218116594,affiliation,Anthony
sub-30,0,4.030164843,affiliation,Peter
sub-30,0,3.095646219,affiliation,Anthony
sub-31,0,4.637603238,affiliation,Olivia
sub-31,0,4.80272348,affiliation,Peter
sub-31,0,5.250920833,affiliation,Olivia
sub-31,0,6.924724106,affiliation,Newcomb
sub-31,0,3.041069518,affiliation,Peter
sub-31,0,8.446107258,affiliation,Peter
sub-31,0,7.343170368,affiliation,Anthony
sub-31,0,4.382794196,affiliation,Hayworth
sub-31,0,3.529607544,affiliation,Hayworth
sub-31,0,8.203738352,affiliation,Peter
sub-31,0,5.365273032,affiliation,Peter
sub-31,0,7.113759346,affiliation,Newcomb
sub-31,0,4.631906249,affiliation,Newcomb
sub-32,0,2.403655795,affiliation,Olivia
sub-32,0,3.126199604,affiliation,Olivia
sub-32,0,2.513062354,affiliation,Olivia
sub-32,0,2.826685087,affiliation,Olivia
sub-32,0,3.703243303,affiliation,Newcomb
sub-32,0,2.164296726,affiliation,Peter
sub-32,0,3.370779171,affiliation,Anthony
sub-32,0,2.536338972,affiliation,Anthony
sub-32,0,3.046143143,affiliation,Anthony
sub-32,0,4.862949305,affiliation,Hayworth
sub-32,0,4.699210419,affiliation,Peter
sub-32,0,3.315604795,affiliation,Newcomb
sub-32,0,4.872822588,affiliation,Anthony
sub-33,0,1.939044464,affiliation,Olivia
sub-33,0,3.770030071,affiliation,Olivia
sub-33,0,3.320943773,affiliation,Newcomb
sub-33,0,3.695797084,affiliation,Peter
sub-33,0,3.871000968,affiliation,Peter
sub-33,0,4.543252387,affiliation,Hayworth
sub-33,0,3.239283609,affiliation,Anthony
sub-33,0,4.596535676,affiliation,Anthony
sub-33,0,4.57940024,affiliation,Anthony
sub-33,0,3.725787888,affiliation,Newcomb
sub-33,0,4.242135224,affiliation,Anthony
sub-34,0,3.890558532,affiliation,Olivia
sub-34,0,2.253460586,affiliation,Olivia
sub-34,0,3.104112716,affiliation,Olivia
sub-34,0,2.841254528,affiliation,Peter
sub-34,0,4.452708735,affiliation,Peter
sub-34,0,4.346369594,affiliation,Peter
sub-34,0,4.004276542,affiliation,Anthony
sub-34,0,3.300047321,affiliation,Hayworth
sub-34,0,3.070513933,affiliation,Hayworth
sub-34,0,3.173459838,affiliation,Peter
sub-34,0,5.222090696,affiliation,Anthony
sub-34,0,4.887319742,affiliation,Peter
sub-34,0,3.256685976,affiliation,Anthony
sub-35,0,4.490572425,affiliation,Olivia
sub-35,0,3.014322256,affiliation,Olivia
sub-35,0,5.448406452,affiliation,Olivia
sub-35,0,3.241004028,affiliation,Peter
sub-35,0,4.167980871,affiliation,Olivia
sub-35,0,2.249408661,affiliation,Newcomb
sub-35,0,2.624404077,affiliation,Peter
sub-35,0,5.863761735,affiliation,Peter
sub-35,0,3.120671976,affiliation,Hayworth
sub-35,0,5.950272855,affiliation,Peter
sub-35,0,5.992971985,affiliation,Peter
sub-35,0,8.349106256,affiliation,Anthony
sub-36,0,3.564202789,affiliation,Olivia
sub-36,0,3.983277831,affiliation,Peter
sub-36,0,4.365921163,affiliation,Olivia
sub-36,0,3.982922393,affiliation,Newcomb
